COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
AfroDb.1,CC1=C(O)C(=O)C=C2C1=CC=C1[C@]23C[C@H]3C[C@]23C[C@]24C[C@H](CO)C[C@@H]2C[C@@]24CC[C@@]13C,,AfroDb,416.24,5.19,2,3,57.53,1
AfroDb.3,COc1cc(CO)c(-c2ccc3c(c2O)[C@@H](C)N[C@H](C)C3)c2cccc(O)c12,,AfroDb,379.18,4.01,4,5,81.95,3
AfroDb.4,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,,AfroDb,377.2,5.13,2,4,50.72,3
AfroDb.5,COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)ccc(O)c12,,AfroDb,363.18,4.83,3,4,61.72,2
AfroDb.6,COc1c2c(cc(O)c1-c1cc(-c3cc(-c4c(O)cc(O)c5c4C[C@@H](C)N[C@@H]5C)c4cc(C)cc(OC)c4c3O)c(O)c3c(OC)cc(C)cc13)C[C@H](C)N=C2C,,AfroDb,768.34,9.51,6,10,153.23,6
AfroDb.8,COc1ccc2c(=O)c3cccc(O)c3oc2c1,,AfroDb,242.06,2.66,1,4,59.67,1
AfroDb.9,COc1cccc2c(=O)c3ccc(O)cc3oc12,,AfroDb,242.06,2.66,1,4,59.67,1
AfroDb.10,CC(C)=CCC/C(C)=C/COc1cc(O)c2c(c1)Cc1cc(C)cc(O)c1C2=O,,AfroDb,392.2,5.61,2,4,66.76,6
AfroDb.11,CC(=O)O[C@@]1(C)CC(=O)c2c(cc3cc(OC/C=C(\C)CCC=C(C)C)cc(O)c3c2O)C1,,AfroDb,452.22,5.77,2,6,93.06,7
AfroDb.12,CC1=C(O)C(C)(C)C(O)=C(CC2=C(O)C(C)(C)C(O)=C(C)C2=O)C1=O,,AfroDb,348.16,3.88,4,6,115.06,2
AfroDb.13,CC(C)=CCC[C@@]1(C)C=Cc2c(O)c(CC3=C(O)C(C)(C)C=C(C(=O)C(C)C)C3=O)c(O)c(C(=O)C(C)C)c2O1,,AfroDb,550.29,6.96,3,7,121.13,9
AfroDb.14,CC(=O)O[C@]1(C)CC(=O)c2c(cc3cc(OCC=C(C)C)cc(O)c3c2O)C1,,AfroDb,384.16,4.05,2,6,93.06,4
AfroDb.15,COc1cc2c(cc1Cc1c3c(cc(OC)c1OC)[C@@H]1c4cc(OC)c(OC)cc4[C@H](C3)CN1C)[C@H](Cc1ccccc1O)N(C)CC2,,AfroDb,650.34,6.47,1,8,72.86,9
AfroDb.16,COc1cc2c(cc1O)[C@@H]1Cc3c(cc(OC)c(OC)c3Cc3cc4c(cc3OC)CCN(C)[C@H]4Cc3ccccc3OC)[C@H]2N(C)C1,,AfroDb,650.34,6.47,1,8,72.86,9
AfroDb.17,COc1cc2c(cc1Cc1c3c(cc(OC)c1OC)[C@@H]1c4cc(OC)c(OC)cc4[C@H](C3)CN1C)[C@H](Cc1ccccc1OC)N(C)CC2,,AfroDb,664.35,6.78,0,8,61.86,10
AfroDb.18,COc1cc2c(cc1O)[C@@H]1Cc3c(cc(OC)c(OC)c3Cc3cc4c(cc3OC)CCN(C)[C@H]4Cc3ccc(O)cc3)[C@H]2N(C)C1,,AfroDb,636.32,6.17,2,8,83.86,8
AfroDb.19,CC(C)C1=CC2=CC=C3C(C)(C)[C@H](OC(=O)c4ccccc4)CC[C@]3(C)C2=C(O)C1=O,,AfroDb,418.21,5.88,1,4,63.6,3
AfroDb.20,O=C1C[C@@H]2OCC=C3CN4[C@@H](C5=C[C@H]6C[C@H]7/C(=C/O)CN8CC[C@]9(c%10ccccc%10N(C5=O)[C@H]69)[C@@H]78)C[C@@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@@H]46,,AfroDb,652.3,4.22,1,6,76.56,1
AfroDb.21,C=CCSS/C=C/C[S@](=O)CC=C,,AfroDb,234.02,3.0,0,3,17.07,8
AfroDb.22,CC(=O)OC[C@@H]1[C@]2(C)C3=C[C@@H](c4ccoc4)C[C@@H]3O[C@@H]2[C@H]2OC(=O)[C@H]3C=CC(=O)[C@]1(C)[C@H]23,,AfroDb,438.17,2.96,0,7,92.04,3
AfroDb.23,CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@@]12C,,AfroDb,482.23,4.56,0,7,95.34,2
AfroDb.24,C/C=C(\C)C(=O)CO[C@H]1C[C@H](OC(C)=O)[C@@]2(COC(C)=O)CO[C@@H]3[C@H]2[C@@]12CO[C@](O)(COC(C)=O)[C@@H]2[C@](C)([C@]12C[C@H]4O[C@H]5OC=C6O[C@]65[C@H]4[C@H]1O2)[C@H]3O,,AfroDb,746.28,0.6,2,16,207.64,10
AfroDb.25,C/C=C1\CN2CC[C@@]34Cc5cc(O)ccc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,,AfroDb,396.2,2.31,1,6,62.24,1
AfroDb.28,CC(C)=CCc1cc(/C=C/C(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O,,AfroDb,392.2,5.72,3,4,77.76,7
AfroDb.29,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(O)cc3)c2O)O1,,AfroDb,322.12,4.18,2,4,66.76,3
AfroDb.30,CC1(C)C=Cc2cc(/C=C/C(=O)c3ccc(O)cc3O)ccc2O1,,AfroDb,322.12,4.18,2,4,66.76,3
AfroDb.35,COc1cc(OC)c2ccc(=O)oc2c1/C=C/C(C)(C)O,,AfroDb,290.12,2.59,1,5,68.9,4
AfroDb.36,COc1ccc2c3c(c(=O)n(C)c2c1OC)[C@H]1Oc2c(c(=O)n(C)c4c(OC)c(OC)ccc24)[C@@H](C=C(C)C)[C@@H]1OC3,,AfroDb,574.23,4.51,0,10,99.38,5
