COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV019066,COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccsc2c1=O,6.85,MMV,359.09,1.47,2,6,93.19,6
MMV665941,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,6.59,MMV,389.25,4.17,1,4,29.95,6
MMV396680,Cc1ccc(-c2cc3c(SCC(=O)Nc4cc(C(F)(F)F)ccc4Cl)nccn3n2)cc1,7.03,MMV,476.07,6.11,1,5,59.29,5
MMV666601,CCOC(=O)C1=C(c2ccccc2)N=c2sc(=Cc3cc(C)n(-c4ccc(F)cc4)c3C)c(=O)n2C1c1cccc(OC)c1OC,6.81,MMV,637.2,5.5,0,9,84.05,8
MMV008294,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc1ccc(OC)c(OC)c1,6.63,MMV,380.17,4.79,1,6,69.68,6
MMV011259,Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,7.07,MMV,321.12,3.81,1,5,55.11,2
MMV019406,CCC1(C)CC(CCNCc2ccccc2O)(c2ccc(C)cc2)CCO1,6.85,MMV,367.25,5.1,2,3,41.49,7
MMV006278,CCc1c(C)c(=N)c2ccccc2n1C,6.42,MMV,200.13,2.53,1,2,28.78,1
MMV666688,Cc1cc(C=C2SC(=Nc3ccccc3)N(C3CCCC3)C2=O)c(C)n1-c1ccc(Cl)cc1,6.58,MMV,475.15,7.29,0,4,37.6,4
MMV019110,Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,6.4,MMV,250.12,3.26,2,4,63.83,2
MMV006427,COc1cc(OC)c(N(C)C(=O)c2cc3c(s2)-c2ccccc2S(=O)(=O)C3)cc1Cl,7.11,MMV,463.03,4.65,0,6,72.91,4
MMV666062,Cc1ccc(N2C(=O)C3C(C2=O)C2(c4ccccc4)C(=O)C3(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,6.55,MMV,571.21,7.18,0,3,54.45,5
MMV020885,COc1ccc(Br)cc1C1Nc2ccc3ccccc3c2C2=C1C(=O)CC(c1ccccc1)C2,6.74,MMV,509.1,7.68,1,3,38.33,3
MMV000570,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1,6.71,MMV,278.14,4.55,2,3,45.15,3
MMV020439,CCn1c(CN2CCN(Cc3ccccc3)CC2)nc2cc(NC(=O)c3cccs3)ccc21,6.29,MMV,459.21,4.69,1,6,53.4,7
MMV396672,O=C(NCC(c1ccsc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,6.36,MMV,396.15,5.11,1,3,32.34,5
