CID,SMILES,activity,outcome_int
44525624,C1CNCCN(C1)C2=NC(=NC(=N2)NCC3=CC=CC=C3C4=CC=C(C=C4)C(F)(F)F)NCCC5=CC=C(C=C5)O.C(=O)(C(F)(F)F)O,Inactive,2
135735901,CCC1=C(N=C(NC1=O)N2C(=CC(=N2)C)NC(=O)C3C4=CC=CC=C4OC5=CC=CC=C35)C,Active,1
44523251,CC1=C2C(=CC=C1)C(=O)C3=C(N2)C(=CC=C3)C(=O)NC4=CC=C(C=C4)CN(C)CC5=CC(=C(C=C5)OC)OC,Inactive,2
44535297,CCCCNC(=O)[C@@H]1CCCN1C(=O)C2=CC(=C(C=C2)O)C3=CC(=C(C=C3)Cl)Cl,Active,1
44527760,CC1=CC(=NC(=N1)NC2=CC=CC=C2)N[C@@H](CC(C)C)C(=O)NCCC3=CC=CC=C3.C(=O)(C(F)(F)F)O,Inactive,2
44522439,C1=CC(=CC=C1CCCNCCCCCCNCCC2=CC(=C(C=C2)O)O)Cl.Br,Inactive,2
44523247,CN(CCCSC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2NC(=CC3=O)C4=CC=CC=C4)CC5=CC(=C(C=C5)OC)OC,Active,1
44534178,CNC(=O)C1=CC2=C(C=C1)NC=C2C3CCN(CC3)CC4CCC(CC4)NC(=O)/C=C/C5=CC=CC=C5Cl,Inactive,2
44526442,C1CCN(CC1)CC2=CC=C(C=C2)C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,1
44532178,CC1=C(C=CC(=C1)C(=O)N(C)C)C2=CC=C(C=C2)C(=O)N3CCC(CC3)CNC4=NC5=CC(=C(C=C5C(=N4)N)OC)OC,Inactive,2
44523031,CC1(N=C(N=C(N1OCCCOC2=CC=CC=C2N)N)N)C.Br,Active,1
3093419,COC1=C(C=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)CF)[N+](=O)[O-],Inactive,2
44535379,CCOC1=C(C=CC(=C1)C(=O)NCC2CCN(CC2)CC3CCCCC3)C4=NC5=C(N4)C=C(C=C5)Cl,Active,1
44526412,CN1CCCC(C1)CN2CCN(CC2)CC3=CC(=CC=C3)C4=CC=C(C=C4)C5=NC6=C(N5)C=C(C=C6)F.C(=O)(C(F)(F)F)O,Active,1
44524707,CN(CCN)CC1=CC=C(C=C1)C2=CC=C(S2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Active,1
44527328,CC(C)(C)C1=CC=C(C=C1)CN2CCCCC(C2)NC(=O)C3=CC(=CS3)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,1
44535436,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=CC=CC=C4C(=O)N=C3CCC5=CC(=C(C=C5F)F)F.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Active,1
44536387,CC1=CC=C(C=C1)S(=O)(=O)N(CCCN2CCN(CC2)C)CC3=CSC(=N3)C4=CC=C(C=C4)CNCC5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,1
135925159,C1=CSC2=C1N=C(NC2=O)NCCCNCC3=CC4=C(N3)C=C(C=C4Cl)Cl.Cl,Inactive,2
4132878,CCC(C)(C)C1=CC(=C(C=C1)OCC(CN2CCCCC2)O)C(C)(C)CC,Inactive,2
44532593,CCN(CCS(=O)(=O)C)CC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.CC1=CC=C(C=C1)S(=O)(=O)O,Active,1
44525800,CC1=CC=CC=C1C2CCN(CC2)C3CCC(CC3)NC(=O)/C=C/C4=CC=C(C=C4)F,Inactive,2
5215477,CC(=O)NC1=C2C=CC=C(C2=C(C=C1)[N+](=O)[O-])Br,Inactive,2
5159882,CC1=C(C=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)CC(=O)N)S(=O)(=O)NCC5CCCO5,Active,1
44534501,CC1=C(C=CC(=C1)CN2CC[C@@H](C2)NC(=O)C3=CC(=C(C=C3)Cl)Cl)OC4CCN(CC4)CC5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,2
44528956,CC(C)CCCC(C)(C)NC[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C2=C(C(=CC(=C2)NC(C)C)N3CCCCS3(=O)=O)F)O.C(=O)O,Active,1
44528255,CN(CC1=CC=CC=C1)C2CCCN(C2)C3=NC=CC(=C3)NC(=O)C4=CC=CS4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,1
44532123,CC1=CC(=CC=C1)CC(=NCCCCCCN=C(CC2=CC=CC(=C2)C)N)N.Cl,Active,1
44528114,CC1=CC(=NC(=N1)NCC2CCCCC2)N[C@@H](CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)OC.C(=O)(C(F)(F)F)O,Active,1
44527722,COCCN1C(=NN(C1=S)C2=C(C=C(C=C2)[N+](=O)[O-])C#N)C3=CC(=CC=C3)Cl,Active,1
44534328,C1CCC(CC1)N(C2CCCCC2)C(=NC3=CC=CC=C3Br)NC4=C(C=C(C=C4)C#N)O,Active,1
44535094,COC1=CC2=C(C=CN=C2C=C1)[C@H](CN3CCC(CC3)NCC4=CC5=C(N4)C=CC=C5Cl)O.C(=O)(C(=O)O)O,Active,1
44536680,CC1=C(C=CC(=C1)F)C2=C3C=CC(=O)N(C3=NC(=N2)NCC(CNCCC4=CC=CC=C4)O)C5=C(C=CC=C5F)F.C(=O)(C(F)(F)F)O,Active,1
44524671,CC1=C2C(=CC=C1)NC(=N2)C3=CC=C(C=C3)C4=CC=C(C=C4)CNCC(C)C.C(=O)(C(F)(F)F)O,Active,1
44528326,CCN(CC)CC1=C(C(=CC=C1)C2=CC3=C(C=CN=C3N2)C4=CC(=C(C=C4)C(=O)O)C(C)C)OC.C(=O)(C(F)(F)F)O,Active,1
44529964,CC1=C(C=CC(=C1)C2=CNC3=C2C=C(C=N3)C4=C5C=CC=NC5=CC=C4)C(=O)O.C(=O)(C(F)(F)F)O,Active,1
44534171,CC1=NOC(=C1)C2=CC3=C(CCN(CC3)CCC4CCC(CC4)NC(=O)/C=C/C5=CC=CC=C5F)C=C2.Cl,Inactive,2
44528204,CN(CC1=CC=C(C=C1)C#N)C2CCN(CC2)C3=NC=CC(=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,2
44537143,CC1=CC(=C2C=CC=C(C2=N1)OC)NN=CC3=CC=CC=C3Cl,Active,1
44529243,CCCCCCCC1=NC=C(C=C1)C2=C(NC(=C(C2=O)Cl)C)C,Active,1
